# Vg V_xx V_Hall
0.547667 0.00319685 0.000400676
0.546333 0.00322098 0.000400752
0.532667 0.0033221 0.000414393
0.524 0.00341479 0.000430815
0.515 0.00350515 0.000440382
0.504 0.00360363 0.000457391
0.493333 0.00371092 0.000468262
0.481667 0.0038237 0.000483043
0.474 0.00394692 0.000502737
0.463667 0.00406223 0.00052486
0.454333 0.00418038 0.000542713
0.445333 0.00430775 0.000559897
0.436 0.00444163 0.00058825
0.425667 0.00458625 0.000621891
0.414 0.00474141 0.000644508
0.406333 0.00489425 0.000674469
0.392667 0.00505519 0.00069865
0.383667 0.00523571 0.000728847
0.372667 0.00545194 0.000775429
0.363667 0.00566501 0.000818614
0.352 0.00588154 0.00085617
0.341333 0.00612148 0.000911408
0.334 0.00637351 0.000970304
0.325 0.00662755 0.0010228
0.312667 0.00690472 0.00108069
0.303333 0.00719163 0.0011437
0.293333 0.00749922 0.00122076
0.283667 0.0078269 0.00129345
0.270667 0.00823651 0.00136793
0.262667 0.00863204 0.00145247
0.252333 0.00903263 0.00153733
0.243 0.009488 0.00164415
0.229667 0.00996576 0.00175299
0.223333 0.0104862 0.00187389
0.213333 0.0110613 0.0019977
0.200667 0.0117353 0.00213496
0.191667 0.0123951 0.00227145
0.182667 0.0131098 0.00241362
0.172 0.0140491 0.00255387
0.162 0.0148505 0.00268288
0.151 0.0157599 0.00283065
0.140667 0.0166924 0.00295319
0.133 0.0176495 0.00308147
0.122667 0.0185724 0.00318202
0.111667 0.0194586 0.00322327
0.099667 0.0203755 0.00322792
0.092 0.021171 0.00316827
0.081667 0.0217914 0.00302563
0.069667 0.0223219 0.00277713
0.062333 0.0225859 0.00245998
0.0486667 0.0226698 0.0020222
0.0413333 0.0225811 0.0016836
0.0286667 0.022309 0.00113778
0.0213333 0.0219198 0.000616934
0.0106667 0.0214266 8.90E-05
0.003 0.020865 -0.000450697
-0.009 0.0202152 -0.000940092
-0.019 0.0195078 -0.00139136
-0.0296667 0.0186854 -0.00179194
-0.0376667 0.0179332 -0.00211732
-0.0513333 0.0171932 -0.00241349
-0.0586667 0.0164512 -0.00264496
-0.0703333 0.0156342 -0.00283148
-0.083 0.0149168 -0.0029375
-0.092 0.0141813 -0.00301022
-0.102333 0.0135051 -0.00304459
-0.11 0.012843 -0.00304398
-0.120667 0.0120988 -0.00300471
-0.132333 0.0114721 -0.00296773
-0.141667 0.0109051 -0.0029233
-0.152 0.0103512 -0.00285065
-0.161333 0.00981516 -0.0027668
-0.172 0.00934773 -0.00264878
-0.181 0.00888639 -0.00254047
-0.191667 0.00850517 -0.00242014
-0.201667 0.00815488 -0.00226146
-0.211 0.00780874 -0.00210947
-0.224333 0.00748411 -0.00196127
-0.232333 0.00718697 -0.00180551
-0.242667 0.00691486 -0.00165414
-0.253333 0.00666203 -0.00151251
-0.262333 0.00642097 -0.00139752
-0.272667 0.00618964 -0.00128447
-0.281667 0.00594329 -0.0011929
-0.295667 0.00572687 -0.00110482
-0.304667 0.00552171 -0.00102082
-0.313667 0.0053274 -0.000940396
-0.321333 0.00512092 -0.00087722
-0.333 0.00494647 -0.00082622
-0.344 0.00477934 -0.000767051
-0.354 0.00460917 -0.00071792
-0.364667 0.00445998 -0.000684473
-0.375667 0.00431648 -0.000655058
-0.384333 0.00418373 -0.000598919
-0.393667 0.00406162 -0.000568142
-0.405333 0.00393029 -0.000541751
-0.413333 0.00381609 -0.000510765
-0.427 0.00368912 -0.000489258
-0.434 0.00358122 -0.000467658
-0.442 0.00348172 -0.000447528
-0.455 0.00338011 -0.00042451
-0.464667 0.00328771 -0.00040451
-0.473667 0.003201 -0.000390184
-0.483667 0.00311693 -0.000370192
-0.493 0.00303701 -0.000354178
-0.502333 0.00295892 -0.000338626
-0.514333 0.00288053 -0.000328158
-0.526 0.00279859 -0.000312285
-0.537 0.00273074 -0.000297895
-0.546 0.0026634 -0.000294635
-0.553333 0.00259707 -0.000280893
-0.567333 0.00253531 -0.000269775
-0.576333 0.00247425 -0.00026459
-0.585333 0.00242101 -0.000253565
-0.594 0.00236645 -0.000243529
-0.606333 0.00231504 -0.00023446
-0.617 0.0022697 -0.000225158
-0.624667 0.00221838 -0.000218438
-0.636667 0.00216778 -0.000213204
-0.647 0.00212691 -0.000207797
