# Vg V_xx V_Hall
0.686333 0.00158628 0.000104773
0.684667 0.00159023 0.000102618
0.674333 0.00161924 0.000108747
0.666667 0.00164541 0.000112365
0.655 0.00167735 0.000115484
0.644333 0.00170991 0.000119408
0.635333 0.00173932 0.000123997
0.626333 0.00177836 0.000127892
0.611 0.00182096 0.000132077
0.603333 0.00185767 0.000140456
0.591667 0.00189763 0.000142899
0.583667 0.00193871 0.00014982
0.573667 0.00198333 0.000157269
0.563 0.0020314 0.00016396
0.552333 0.00207937 0.000168329
0.545 0.0021318 0.000178275
0.535333 0.00218403 0.000181429
0.525 0.00224224 0.000187978
0.514333 0.00230573 0.000197511
0.502667 0.00236882 0.000205312
0.493333 0.00243484 0.000218527
0.483 0.00250664 0.000226834
0.472333 0.00257672 0.000238754
0.462 0.00265349 0.000247871
0.454333 0.0027327 0.000264971
0.443667 0.00281606 0.000277156
0.434667 0.00290247 0.000290428
0.422333 0.00299993 0.000307229
0.413333 0.00310683 0.000320489
0.403 0.00321575 0.000342597
0.392333 0.00332264 0.000352651
0.383 0.00344292 0.000375973
0.371 0.00356391 0.000395208
0.362 0.00369565 0.00041701
0.353 0.00383155 0.00044265
0.342333 0.00397851 0.000470467
0.333333 0.00412779 0.000494264
0.322667 0.00428905 0.000518911
0.311 0.00449188 0.000553323
0.301667 0.00467758 0.000584623
0.291333 0.00487817 0.000626345
0.280333 0.00509095 0.000666576
0.268667 0.0053235 0.000718761
0.261333 0.00556416 0.00076283
0.252 0.00583322 0.000820504
0.241667 0.00613392 0.000881908
0.230667 0.00646262 0.000952395
0.22 0.00680956 0.00102248
0.21 0.00721848 0.00110389
0.199333 0.00765193 0.0012004
0.191667 0.00813043 0.00130157
0.181 0.00867503 0.00142856
0.171667 0.00930412 0.00155046
0.158333 0.0100144 0.00168835
0.149667 0.0107988 0.00182597
0.140333 0.011701 0.00198858
0.129667 0.0127721 0.00213319
0.120667 0.0140189 0.00227476
0.113 0.0155273 0.00240039
0.098 0.0170449 0.00246982
0.0903333 0.0185512 0.0024813
0.0813333 0.0198758 0.0024559
0.0676667 0.0209978 0.00229485
0.0576667 0.0216367 0.00205098
0.048 0.021858 0.00171774
0.0406667 0.0217336 0.00130345
0.0283333 0.0212983 0.000837946
0.0196667 0.0205252 0.00032348
0.0073333 0.019711 -0.000207005
-0.003 0.0188187 -0.000609618
-0.012 0.0178811 -0.00103544
-0.022333 0.016937 -0.00134517
-0.032 0.0160137 -0.00160523
-0.042 0.0150885 -0.001805
-0.051667 0.0142219 -0.00194853
-0.063333 0.0133834 -0.00204064
-0.073667 0.0125634 -0.00209584
-0.084667 0.0117363 -0.00213652
-0.093667 0.011018 -0.00214023
-0.105667 0.0103366 -0.00213602
-0.111333 0.0097186 -0.0021027
-0.123667 0.00916508 -0.00204863
-0.133 0.00858365 -0.00200123
-0.143 0.00806348 -0.00193948
-0.154 0.00758337 -0.00185951
-0.164333 0.00716666 -0.00178611
-0.173667 0.00678979 -0.00168679
-0.185333 0.00643158 -0.00159601
-0.193333 0.00615542 -0.00148367
-0.202 0.00591456 -0.00134814
-0.213 0.00567765 -0.0012264
-0.225 0.00547471 -0.0011171
-0.235667 0.00528263 -0.00102002
-0.244333 0.00509146 -0.000935757
-0.251667 0.00491449 -0.000851485
-0.267 0.00473427 -0.000787945
-0.276333 0.00457281 -0.000723717
-0.286333 0.0044003 -0.000673388
-0.296 0.00425903 -0.00062415
-0.303333 0.00411917 -0.000589117
-0.315667 0.00398439 -0.000543323
-0.323 0.00385457 -0.000507455
-0.337667 0.0037418 -0.000481915
-0.343667 0.00362577 -0.00045374
-0.351667 0.00351807 -0.000429835
-0.367 0.00341249 -0.000402707
-0.376 0.00331291 -0.000382353
-0.386333 0.003212 -0.000361931
-0.397 0.0031192 -0.000345069
-0.404333 0.00303563 -0.000329832
-0.414667 0.0029546 -0.000317191
-0.427333 0.00287164 -0.000295635
-0.437667 0.00279821 -0.000282311
-0.446667 0.00272448 -0.00027359
-0.456 0.00265501 -0.000261066
-0.465 0.00258686 -0.000249917
-0.475333 0.00252712 -0.000241595
-0.486 0.00246202 -0.000231124
-0.498 0.00240187 -0.000219285
-0.508333 0.00235045 -0.000213001
